75,25;25,76;0
74,26;26,75;0
73,27;27,74;0
72,28;28,73;0
71,29;29,72;0
70,30;30,71;0
69,31;31,70;0
68,32;32,69;0
67,33;33,68;0
66,34;34,67;0
65,35;35,66;0
64,36;36,65;0
63,37;37,64;0
62,38;38,63;0
61,39;39,62;0
60,40;40,61;0
59,41;41,60;0
58,42;42,59;0
57,43;43,58;0
56,44;44,57;0
55,45;45,56;0
54,46;46,55;0
53,47;47,54;0
52,48;48,53;0
51,49;49,52;0
50,50;50,51;0
49,51;51,50;0
48,52;52,49;0
47,53;53,48;0
46,54;54,47;0
45,55;55,46;0
44,56;56,45;0
43,57;57,44;0
42,58;58,43;0
41,59;59,42;0
40,60;60,41;0
39,61;61,40;0
38,62;62,39;0
37,63;63,38;0
36,64;64,37;0
35,65;65,36;0
34,66;66,35;0
33,67;67,34;0
32,68;68,33;0
31,69;69,32;0
30,70;70,31;0
29,71;71,30;0
28,72;72,29;0
27,73;73,28;0
26,74;74,27;0
25,75;75,26;0
